tc_id,typhoon_number,name_en,name_jp,point_index,stage,latitude,longitude,is_analysis_position,valid_time_utc,valid_time_jst,category,pressure_hPa,max_wind_sustained_kt,max_wind_gust_kt,direction,speed_kt,gale_warning_30kt,storm_warning_50kt
TC2621,2618,Saudel,ソウデル,0,preTyphoon,7.8,153.2,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,1,preTyphoon,7.9,152.9,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,2,preTyphoon,7.9,151.7,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,3,preTyphoon,8.0,152.0,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,4,preTyphoon,8.1,153.9,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,5,preTyphoon,8.2,153.7,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,6,typhoon,8.3,153.7,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,7,typhoon,8.5,153.5,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,8,typhoon,8.9,153.2,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,9,typhoon,9.2,152.6,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,10,typhoon,9.7,152.3,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,11,typhoon,11.0,152.2,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,12,typhoon,11.2,151.6,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,13,typhoon,11.5,151.1,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,14,typhoon,11.5,150.5,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,15,typhoon,11.5,150.2,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,16,typhoon,12.0,150.1,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,17,typhoon,12.3,149.9,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,18,typhoon,13.2,149.5,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,19,typhoon,13.5,149.6,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,20,typhoon,14.3,149.5,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,21,typhoon,14.6,149.2,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,22,typhoon,15.1,148.9,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,23,typhoon,15.6,148.5,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,24,typhoon,16.0,148.1,False,,,,,,,,,,
TC2621,2618,Saudel,ソウデル,25,typhoon,16.4,148.0,True,2026-08-21T15:00:00Z,2026-08-22T00:00:00+09:00,STS,975,60,85,北西,12,南:390km;北:280km,南:95km;北:55km
