tc_id_monitoring,tc_id_official,tc_name,point_index,stage,center_latitude,center_longitude,is_analysis_position,valid_time_utc,tc_intensity_category,central_pressure,msw_kt,gustiness_kt,movement_direction,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm,50kt_wind_longrad_fcstdir,50kt_wind_longrad_fcstlength_km,50kt_wind_longrad_fcstlength_nm,50kt_wind_shortrad_fcstdir,50kt_wind_shortrad_fcstlength_km,50kt_wind_shortrad_fcstlength_nm
TC2621,T2618,SAUDEL,0,preTyphoon,7.8,153.2,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,1,preTyphoon,7.9,152.9,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,2,preTyphoon,7.9,151.7,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,3,preTyphoon,8.0,152.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,4,preTyphoon,8.1,153.9,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,5,preTyphoon,8.2,153.7,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,6,typhoon,8.3,153.7,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,7,typhoon,8.5,153.5,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,8,typhoon,8.9,153.2,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,9,typhoon,9.2,152.6,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,10,typhoon,9.7,152.3,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,11,typhoon,11.0,152.2,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,12,typhoon,11.2,151.6,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,13,typhoon,11.5,151.1,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,14,typhoon,11.5,150.5,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,15,typhoon,11.5,150.2,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,16,typhoon,12.0,150.1,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,17,typhoon,12.3,149.9,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,18,typhoon,13.2,149.5,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,19,typhoon,13.5,149.6,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,20,typhoon,14.3,149.5,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,21,typhoon,14.6,149.2,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,22,typhoon,15.1,148.9,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,23,typhoon,15.6,148.5,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,24,typhoon,16.0,148.1,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,25,typhoon,16.4,148.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
TC2621,T2618,SAUDEL,26,typhoon,17.1,147.7,True,2026-08-21T18:00:00Z,typhoon,970,65,95,NNW,12,S,390,210,N,280,150,symmetric,110,60,symmetric,110,60,,,,,,
