tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2622,,b,2026-08-21T18:00:00Z,21.0,108.2,tropical depression,,996,15,30,23,45,NNE,slowly,slowly,,,,,,,,,,,,
TC2622,,b,2026-08-21T21:00:00Z,21.1,108.2,tropical depression,,996,15,30,23,45,almost stationary,,,,,,,,,,,,,,
TC2622,T2619,NARRA,2026-08-22T00:00:00Z,21.2,108.0,tropical storm,,994,18,35,25,50,almost stationary,,,S,220,120,N,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T03:00:00Z,21.1,107.9,tropical storm,,994,18,35,25,50,W,slowly,slowly,S,220,120,N,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T06:00:00Z,21.0,108.0,tropical storm,,994,18,35,25,50,almost stationary,,,S,220,120,N,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T09:00:00Z,21.1,108.2,tropical storm,,994,18,35,25,50,E,slowly,slowly,S,220,120,N,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T12:00:00Z,21.1,108.1,tropical storm,,994,18,35,25,50,almost stationary,,,S,220,120,N,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T15:00:00Z,20.9,108.0,tropical storm,,996,18,35,25,50,almost stationary,,,symmetric,165,90,symmetric,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T18:00:00Z,20.8,107.8,tropical storm,,994,18,35,25,50,SW,slowly,slowly,symmetric,165,90,symmetric,165,90,,,,,,
TC2622,T2619,NARRA,2026-08-22T21:00:00Z,20.8,107.7,tropical storm,,994,18,35,25,50,WSW,slowly,slowly,symmetric,165,90,symmetric,165,90,,,,,,
