tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2623,,c,2026-08-22T00:00:00Z,25.4,124.9,tropical depression,,1002,15,30,23,45,W,slowly,slowly,,,,,,,,,,,,
TC2623,T2620,GAENARI,2026-08-22T03:00:00Z,25.5,124.9,tropical storm,,998,18,35,25,50,W,slowly,slowly,S,390,210,N,280,150,,,,,,
TC2623,T2620,GAENARI,2026-08-22T06:00:00Z,25.7,124.7,tropical storm,,998,18,35,25,50,WNW,slowly,slowly,S,390,210,N,280,150,,,,,,
TC2623,T2620,GAENARI,2026-08-22T09:00:00Z,25.9,124.0,tropical storm,,998,18,35,25,50,WNW,slowly,slowly,S,390,210,N,280,150,,,,,,
TC2623,T2620,GAENARI,2026-08-22T12:00:00Z,26.0,123.3,tropical storm,,998,18,35,25,50,WNW,10,6,SE,390,210,NW,280,150,,,,,,
TC2623,T2620,GAENARI,2026-08-22T15:00:00Z,25.5,123.1,tropical storm,,998,18,35,25,50,WSW,15,9,SE,390,210,NW,280,150,,,,,,
TC2623,T2620,GAENARI,2026-08-22T18:00:00Z,25.4,122.9,tropical storm,,998,18,35,25,50,SSW,15,7,symmetric,390,210,symmetric,390,210,,,,,,
TC2623,T2620,GAENARI,2026-08-22T21:00:00Z,25.3,122.6,tropical storm,,998,18,35,25,50,WSW,slowly,slowly,symmetric,390,210,symmetric,390,210,,,,,,
TC2623,T2620,GAENARI,2026-08-23T00:00:00Z,25.4,122.6,tropical storm,,998,18,35,25,50,W,slowly,slowly,symmetric,390,210,symmetric,390,210,,,,,,
TC2623,T2620,GAENARI,2026-08-23T03:00:00Z,25.5,122.5,tropical storm,,998,18,35,25,50,almost stationary,,,S,560,300,N,330,180,,,,,,
TC2623,T2620,GAENARI,2026-08-23T06:00:00Z,25.3,120.9,tropical storm,,998,18,35,25,50,W,10,6,S,560,300,N,330,180,,,,,,
TC2623,T2620,GAENARI,2026-08-23T09:00:00Z,24.5,120.1,tropical storm,,998,18,35,25,50,SW,10,6,S,560,300,N,330,180,,,,,,
TC2623,T2620,GAENARI,2026-08-23T12:00:00Z,24.1,119.2,tropical storm,,998,18,35,25,50,SW,10,6,S,560,300,N,330,180,,,,,,
TC2623,T2620,GAENARI,2026-08-23T15:00:00Z,23.3,118.7,tropical storm,,998,18,35,25,50,SW,10,6,S,560,300,N,330,180,,,,,,
