tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2626,,c,2026-08-27T18:00:00Z,17.7,164.0,tropical depression,,1004,15,30,23,45,E,slowly,slowly,,,,,,,,,,,,
TC2626,,c,2026-08-27T21:00:00Z,17.7,164.2,tropical depression,,1004,15,30,23,45,E,slowly,slowly,,,,,,,,,,,,
TC2626,,c,2026-08-28T00:00:00Z,18.2,164.7,tropical depression,,1004,15,30,23,45,NE,15,8,,,,,,,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T03:00:00Z,18.4,165.1,tropical storm,,1002,18,35,25,50,NE,20,11,symmetric,165,90,symmetric,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T06:00:00Z,18.8,165.3,tropical storm,,1000,18,35,25,50,NE,15,8,symmetric,165,90,symmetric,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T09:00:00Z,19.4,165.8,tropical storm,,1000,18,35,25,50,NNE,20,12,symmetric,165,90,symmetric,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T12:00:00Z,19.6,165.8,tropical storm,,998,20,40,30,60,NNE,15,9,symmetric,165,90,symmetric,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T15:00:00Z,20.3,166.6,tropical storm,,994,23,45,35,65,NE,20,10,symmetric,165,90,symmetric,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T18:00:00Z,20.8,167.1,severe tropical storm,,992,25,50,35,70,NE,30,16,symmetric,220,120,symmetric,220,120,,,,,,
TC2626,T2623,BANG-LANG,2026-08-28T21:00:00Z,21.1,167.5,severe tropical storm,,992,25,50,35,70,NE,25,13,symmetric,220,120,symmetric,220,120,,,,,,
TC2626,T2623,BANG-LANG,2026-08-29T00:00:00Z,22.2,167.9,severe tropical storm,,985,30,60,45,85,NE,30,16,E,220,120,W,165,90,E,75,40,W,35,20
TC2626,T2623,BANG-LANG,2026-08-29T03:00:00Z,23.1,167.9,severe tropical storm,,985,30,60,45,85,NNE,30,15,E,220,120,W,165,90,E,75,40,W,35,20
TC2626,T2623,BANG-LANG,2026-08-29T06:00:00Z,23.9,168.1,typhoon,,980,35,65,50,95,NNE,30,16,E,220,120,W,165,90,E,95,50,W,55,30
TC2626,T2623,BANG-LANG,2026-08-29T09:00:00Z,24.5,168.6,typhoon,,980,35,65,50,95,NNE,30,15,E,220,120,W,165,90,E,95,50,W,55,30
TC2626,T2623,BANG-LANG,2026-08-29T12:00:00Z,25.1,169.1,severe tropical storm,,985,30,60,45,85,NE,30,15,SE,220,120,NW,165,90,E,75,40,W,35,20
TC2626,T2623,BANG-LANG,2026-08-29T15:00:00Z,25.7,169.2,severe tropical storm,,985,30,60,45,85,NNE,25,13,SE,220,120,NW,165,90,E,75,40,W,35,20
TC2626,T2623,BANG-LANG,2026-08-29T18:00:00Z,27.2,169.4,severe tropical storm,,990,30,55,40,80,NNE,35,18,SE,220,120,NW,165,90,E,75,40,W,35,20
TC2626,T2623,BANG-LANG,2026-08-29T21:00:00Z,29.6,168.7,severe tropical storm,,992,25,50,35,70,N,55,30,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T00:00:00Z,30.8,168.0,severe tropical storm,,992,25,50,35,70,N,55,29,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T03:00:00Z,32.1,167.4,severe tropical storm,,992,25,50,35,70,NNW,50,27,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T06:00:00Z,33.1,167.4,severe tropical storm,,992,25,50,35,70,N,45,24,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T09:00:00Z,34.2,166.9,severe tropical storm,,992,25,50,35,70,NNW,45,24,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T12:00:00Z,34.5,166.3,tropical storm,,994,23,45,35,65,NNW,35,20,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T15:00:00Z,35.2,165.9,tropical storm,,994,23,45,35,65,NW,25,13,E,220,120,W,165,90,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T18:00:00Z,35.4,165.9,tropical storm,,996,20,40,30,60,NNW,20,10,E,220,120,W,110,60,,,,,,
TC2626,T2623,BANG-LANG,2026-08-30T21:00:00Z,36.2,165.6,tropical storm,,998,18,35,25,50,N,20,10,E,220,120,W,110,60,,,,,,
TC2626,T2623,BANG-LANG,2026-08-31T00:00:00Z,37.0,166.0,extratropical,,1002,,,,,N,20,10,,,,,,,,,,,,
