tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2628,,b,2026-08-31T00:00:00Z,21.5,132.2,tropical depression,,1000,15,30,23,45,WNW,slowly,slowly,,,,,,,,,,,,
TC2628,,b,2026-08-31T03:00:00Z,21.6,132.0,tropical depression,,1000,15,30,23,45,WNW,slowly,slowly,,,,,,,,,,,,
TC2628,,b,2026-08-31T06:00:00Z,21.9,131.6,tropical depression,,998,15,30,23,45,WNW,slowly,slowly,,,,,,,,,,,,
TC2628,,b,2026-08-31T09:00:00Z,22.3,131.1,tropical depression,,998,15,30,23,45,NW,15,8,,,,,,,,,,,,
TC2628,,b,2026-08-31T12:00:00Z,22.2,131.2,tropical depression,,998,15,30,23,45,NW,slowly,slowly,,,,,,,,,,,,
TC2628,,b,2026-08-31T15:00:00Z,22.2,131.4,tropical depression,,998,15,30,23,45,ESE,slowly,slowly,,,,,,,,,,,,
TC2628,,b,2026-08-31T18:00:00Z,22.0,131.9,tropical depression,,998,15,30,23,45,ESE,15,7,,,,,,,,,,,,
TC2628,,b,2026-08-31T21:00:00Z,22.0,131.9,tropical depression,,998,15,30,23,45,ESE,15,7,,,,,,,,,,,,
TC2628,T2624,KROVANH,2026-09-01T00:00:00Z,22.6,131.9,tropical storm,,996,18,35,25,50,almost stationary,,,S,560,300,N,390,210,,,,,,
TC2628,T2624,KROVANH,2026-09-01T03:00:00Z,22.5,131.8,tropical storm,,996,18,35,25,50,almost stationary,,,S,560,300,N,390,210,,,,,,
