tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2632,,b,2026-09-22T12:00:00Z,14.3,140.7,tropical depression,,1008,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2632,,b,2026-09-22T15:00:00Z,14.8,140.2,tropical depression,,1008,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2632,,b,2026-09-22T18:00:00Z,14.8,140.1,tropical depression,,1006,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2632,,b,2026-09-22T21:00:00Z,15.7,139.6,tropical depression,,1008,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2632,,b,2026-09-23T00:00:00Z,15.9,138.7,tropical depression,,1008,15,30,23,45,NW,25,13,,,,,,,,,,,,
TC2632,,b,2026-09-23T03:00:00Z,16.0,138.5,tropical depression,,1008,15,30,23,45,WNW,20,11,,,,,,,,,,,,
TC2632,,b,2026-09-23T06:00:00Z,16.1,138.1,tropical depression,,1006,15,30,23,45,WNW,20,12,,,,,,,,,,,,
TC2632,,b,2026-09-23T09:00:00Z,16.5,137.8,tropical depression,,1006,15,30,23,45,WNW,20,10,,,,,,,,,,,,
TC2632,T2626,SURIGAE,2026-09-23T12:00:00Z,17.4,137.0,tropical storm,,1004,18,35,25,50,NW,20,11,N,220,120,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-23T15:00:00Z,17.9,136.4,tropical storm,,1004,18,35,25,50,NW,35,19,N,220,120,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-23T18:00:00Z,17.8,135.7,tropical storm,,1002,20,40,30,60,WNW,25,13,N,280,150,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-23T21:00:00Z,17.9,134.8,tropical storm,,1002,20,40,30,60,WNW,25,14,N,280,150,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T00:00:00Z,18.5,134.1,tropical storm,,1002,20,40,30,60,WNW,30,17,N,280,150,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T03:00:00Z,18.5,133.5,tropical storm,,1000,20,40,30,60,WNW,25,14,N,280,150,S,110,60,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T06:00:00Z,18.6,132.8,tropical storm,,1000,20,40,30,60,W,20,12,N,280,150,S,165,90,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T09:00:00Z,19.0,132.2,tropical storm,,1000,20,40,30,60,WNW,25,14,N,280,150,S,165,90,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T12:00:00Z,19.2,132.0,tropical storm,,1002,20,40,30,60,NW,20,10,N,280,150,S,165,90,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T15:00:00Z,19.3,131.8,tropical storm,,1002,20,40,30,60,NW,15,7,N,280,150,S,165,90,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T18:00:00Z,19.2,131.7,tropical storm,,1000,20,40,30,60,WNW,10,6,N,280,150,S,165,90,,,,,,
TC2632,T2626,SURIGAE,2026-09-24T21:00:00Z,19.4,131.2,tropical storm,,1000,20,40,30,60,WNW,20,10,N,280,150,S,165,90,,,,,,
